subject,modeldate,party,very_estimate,somewhat_estimate,not_very_estimate,not_at_all_estimate,timestamp
concern-infected,6/13/2020,all,28.501634,35.680538,21.208355,13.630071,15-06-20 11:10
concern-economy,6/13/2020,all,50.803102,33.211984,10.592627,3.8652259,15-06-20 11:10
concern-infected,06-12-20,all,28.047086,35.880687,21.758695,13.390416,12-06-20 18:00
concern-economy,06-12-20,all,50.803102,33.211984,10.592627,3.8652259,12-06-20 18:00
concern-infected,06-11-20,all,28.574057,35.566889,21.31032,13.544389,11-06-20 18:40
concern-economy,06-11-20,all,50.803102,33.211984,10.592627,3.8652259,11-06-20 18:40
concern-economy,06-10-20,all,51.735238,32.775861,10.003809,3.9098115,10-06-20 17:25
concern-infected,06-10-20,all,28.619629,35.688985,21.229445,13.394047,10-06-20 17:25
concern-infected,06-09-20,all,29.027798,35.66616,20.904957,13.258925,09-06-20 21:15
concern-economy,06-09-20,all,51.735238,32.775861,10.003809,3.9098115,09-06-20 21:15
concern-infected,06-08-20,all,29.64931,35.594,20.71441,12.953033,08-06-20 17:05
concern-economy,06-08-20,all,53.280986,32.349025,9.2995115,3.2723831,08-06-20 17:05
concern-infected,06-07-20,all,29.767526,35.618115,20.691496,12.816532,07-06-20 9:05
concern-economy,06-07-20,all,53.679146,32.177476,9.1711986,3.2878135,07-06-20 9:05
concern-economy,06-06-20,all,53.679146,32.177476,9.1711986,3.2878135,07-06-20 9:05
concern-infected,06-06-20,all,29.767526,35.618115,20.691496,12.816532,07-06-20 9:05
concern-infected,06-05-20,all,30.406441,35.392201,20.273112,12.96685,05-06-20 16:35
concern-economy,06-05-20,all,53.679146,32.177476,9.1711986,3.2878135,05-06-20 16:35
concern-economy,06-04-20,all,53.679146,32.177476,9.1711986,3.2878135,04-06-20 19:25
concern-infected,06-04-20,all,30.406441,35.392201,20.273112,12.96685,04-06-20 19:25
concern-infected,06-03-20,all,31.582982,35.24027,20.574665,11.518001,03-06-20 17:30
concern-economy,06-03-20,all,53.679146,32.177476,9.1711986,3.2878135,03-06-20 17:30
concern-infected,06-02-20,all,32.082644,35.309326,20.107625,11.420109,02-06-20 15:55
concern-economy,06-02-20,all,55.833262,31.177896,8.108494,3.1960046,02-06-20 15:55
concern-economy,06-01-20,all,57.1027,30.635413,8.1130973,2.9632449,01-06-20 18:20
concern-infected,06-01-20,all,32.12542,35.29418,20.265175,11.264507,01-06-20 18:20
concern-infected,5/31/2020,all,32.583202,35.806215,19.781362,11.065886,31-05-20 16:45
concern-economy,5/31/2020,all,56.568104,30.705303,8.4603741,2.9441164,31-05-20 16:45
concern-infected,5/30/2020,all,32.583202,35.806215,19.781362,11.065886,30-05-20 19:15
concern-economy,5/30/2020,all,56.568104,30.705303,8.4603741,2.9441164,30-05-20 19:15
concern-economy,5/29/2020,all,56.568104,30.705303,8.4603741,2.9441164,29-05-20 19:15
concern-infected,5/29/2020,all,32.583202,35.806215,19.781362,11.065886,29-05-20 19:15
concern-infected,5/28/2020,all,32.532283,35.827844,19.753924,11.107396,28-05-20 16:15
concern-economy,5/28/2020,all,56.568104,30.705303,8.4603741,2.9441164,28-05-20 16:15
concern-infected,5/27/2020,all,32.632395,35.840133,19.661074,11.097416,27-05-20 18:55
concern-economy,5/27/2020,all,56.568104,30.705303,8.4603741,2.9441164,27-05-20 18:55
concern-economy,5/26/2020,all,56.759255,30.484283,8.516507,2.9193068,26-05-20 22:25
concern-infected,5/26/2020,all,32.902524,35.667487,19.464565,11.126705,26-05-20 22:25
concern-infected,5/25/2020,all,33.000465,35.680136,19.329843,11.152162,26-05-20 7:30
concern-economy,5/25/2020,all,56.731735,30.632183,8.8444108,2.6650006,26-05-20 7:30
concern-infected,5/24/2020,all,33.09324,35.614914,19.398545,11.042646,26-05-20 7:30
concern-economy,5/24/2020,all,56.731735,30.632183,8.8444108,2.6650006,26-05-20 7:30
concern-economy,5/23/2020,all,56.731735,30.632183,8.8444108,2.6650006,26-05-20 7:30
concern-infected,5/23/2020,all,33.09324,35.614914,19.398545,11.042646,26-05-20 7:30
concern-infected,5/22/2020,all,33.09324,35.614914,19.398545,11.042646,22-05-20 19:35
concern-economy,5/22/2020,all,56.731735,30.632183,8.8444108,2.6650006,22-05-20 19:35
concern-infected,5/21/2020,all,32.975016,35.366737,19.577254,11.233354,21-05-20 18:15
concern-economy,5/21/2020,all,56.731735,30.632183,8.8444108,2.6650006,21-05-20 18:15
concern-economy,5/20/2020,all,56.731735,30.632183,8.8444108,2.6650006,20-05-20 18:15
concern-infected,5/20/2020,all,33.110292,35.094814,19.721133,11.337914,20-05-20 18:15
concern-infected,5/19/2020,all,30.753734,36.317724,20.233431,12.151683,19-05-20 23:55
concern-economy,5/19/2020,all,58.12627,29.699593,7.9739589,2.9926162,19-05-20 23:55
concern-economy,5/18/2020,all,55.605722,30.937587,8.5689622,3.3159111,18-05-20 16:35
concern-infected,5/18/2020,all,30.653207,36.223235,20.333553,12.277826,18-05-20 16:35
concern-infected,5/17/2020,all,31.921953,36.125928,19.716114,11.689733,17-05-20 12:20
concern-economy,5/17/2020,all,55.605722,30.937587,8.5689622,3.3159111,17-05-20 12:20
concern-economy,5/16/2020,all,55.605722,30.937587,8.5689622,3.3159111,16-05-20 8:05
concern-infected,5/16/2020,all,31.921953,36.125928,19.716114,11.689733,16-05-20 8:05
concern-economy,5/15/2020,all,55.573327,30.9124,8.7112704,3.2200788,15-05-20 15:05
concern-infected,5/15/2020,all,31.838945,36.199089,19.740359,11.683738,15-05-20 15:05
concern-infected,5/14/2020,all,31.731098,36.250174,19.809888,11.731546,14-05-20 18:00
concern-economy,5/14/2020,all,55.577297,30.988506,8.6539788,3.137298,14-05-20 18:00
concern-economy,5/13/2020,all,55.64439,30.923093,8.7908402,3.0706678,13-05-20 17:10
concern-infected,5/13/2020,all,31.479767,35.992653,20.049036,11.941353,13-05-20 17:10
concern-economy,05-12-20,all,55.903754,30.790191,8.6424016,3.0879324,12-05-20 23:05
concern-infected,05-12-20,all,32.708295,36.02825,19.416241,11.35856,12-05-20 23:05
concern-infected,05-11-20,all,32.834497,35.970886,19.390422,11.301951,11-05-20 14:35
concern-economy,05-11-20,all,55.067558,31.544267,8.9813184,3.2044838,11-05-20 14:35
concern-infected,05-10-20,all,32.816567,35.953075,19.422994,11.314738,11-05-20 11:05
concern-economy,05-10-20,all,55.067558,31.544267,8.9813184,3.2044838,11-05-20 11:05
concern-economy,05-09-20,all,55.067558,31.544267,8.9813184,3.2044838,09-05-20 7:40
concern-infected,05-09-20,all,32.005781,36.926379,19.904584,10.629841,09-05-20 7:40
concern-infected,05-08-20,all,31.995114,36.913,19.904515,10.632161,08-05-20 16:10
concern-economy,05-08-20,all,55.149742,31.561404,8.8604195,3.2206276,08-05-20 16:10
concern-economy,05-07-20,all,55.209089,31.403264,8.9146082,3.2570424,07-05-20 18:50
concern-infected,05-07-20,all,31.006627,37.332181,20.152212,11.010493,07-05-20 18:50
concern-economy,05-06-20,all,55.146994,31.358786,8.9364641,3.3386696,06-05-20 19:45
concern-infected,05-06-20,all,30.660573,37.360991,20.436568,11.101611,06-05-20 19:45
concern-infected,05-05-20,all,30.160456,38.928102,19.945428,10.417537,05-05-20 19:20
concern-economy,05-05-20,all,56.459974,30.210791,8.857056,3.2781455,05-05-20 19:20
concern-infected,05-04-20,all,31.375595,38.446992,20.011603,9.5298665,04-05-20 15:10
concern-economy,05-04-20,all,56.966255,29.726851,8.7266236,3.3017727,04-05-20 15:10
concern-economy,05-03-20,all,56.966255,29.726851,8.7266236,3.3017727,03-05-20 15:40
concern-infected,05-03-20,all,31.373302,38.526123,19.956354,9.5225053,03-05-20 15:40
concern-infected,05-02-20,all,31.279785,38.479429,20.263981,9.371332,02-05-20 7:00
concern-economy,05-02-20,all,56.966255,29.726851,8.7266236,3.3017727,02-05-20 7:00
concern-infected,05-01-20,all,31.189971,38.591662,20.267373,9.347461,01-05-20 19:00
concern-economy,05-01-20,all,57.021726,29.806858,8.6609931,3.2976355,01-05-20 19:00
concern-economy,4/30/2020,all,57.129176,29.754365,8.6404195,3.2504886,30-04-20 15:45
concern-infected,4/30/2020,all,31.081605,38.489262,20.395984,9.4834747,30-04-20 15:45
concern-infected,4/29/2020,all,30.81259,38.758053,20.486051,9.4559766,29-04-20 17:30
concern-economy,4/29/2020,all,56.954562,29.879102,8.6840714,3.2539677,29-04-20 17:30
concern-infected,4/28/2020,all,30.781942,38.757897,20.473387,9.4600028,28-04-20 23:00
concern-economy,4/28/2020,all,56.797742,30.084297,8.8643205,2.9713826,28-04-20 23:00
concern-economy,4/27/2020,all,55.613904,31.016987,9.3650708,2.8446749,27-04-20 17:45
concern-infected,4/27/2020,all,32.335759,38.559291,19.797426,8.7038327,27-04-20 17:45
concern-infected,4/26/2020,all,32.60568,37.815997,19.994388,8.8993825,27-04-20 8:05
concern-economy,4/26/2020,all,54.695862,31.78422,9.7966249,2.9533676,27-04-20 8:05
concern-economy,4/25/2020,all,54.695862,31.78422,9.7966249,2.9533676,25-04-20 7:55
concern-infected,4/25/2020,all,32.60568,37.815997,19.994388,8.8993825,25-04-20 7:55
concern-infected,4/24/2020,all,32.596807,37.829933,19.929268,8.9389042,24-04-20 14:10
concern-economy,4/24/2020,all,55.093169,31.514864,9.7099321,2.9704835,24-04-20 14:10
concern-economy,4/23/2020,all,55.19769,31.277705,9.7230732,3.00445,23-04-20 15:25
concern-infected,4/23/2020,all,32.345584,37.734254,20.04996,9.076144,23-04-20 15:25
concern-economy,4/22/2020,all,55.376078,31.108016,9.6973004,3.0193589,22-04-20 15:55
concern-infected,4/22/2020,all,32.202039,37.661474,20.192229,9.0835493,22-04-20 15:55
concern-infected,4/21/2020,all,31.901182,37.634756,20.23673,9.2376939,21-04-20 21:40
concern-economy,4/21/2020,all,56.888707,30.586927,8.6787873,2.9738719,21-04-20 21:40
concern-economy,4/20/2020,all,57.850277,29.622583,8.66464,2.8720653,20-04-20 19:15
concern-infected,4/20/2020,all,34.073216,37.892804,18.89104,7.9452866,20-04-20 19:15
concern-economy,4/19/2020,all,57.043192,29.922808,8.8579152,2.9740339,19-04-20 9:05
concern-infected,4/19/2020,all,33.833518,38.092426,19.079587,7.8919244,19-04-20 9:05
concern-infected,4/18/2020,all,33.706203,37.924524,19.317968,8.0828527,18-04-20 17:35
concern-economy,4/18/2020,all,57.043192,29.922808,8.8579152,2.9740339,18-04-20 17:35
concern-infected,4/17/2020,all,33.741089,37.882025,19.308946,8.0852459,17-04-20 14:30
concern-economy,4/17/2020,all,56.952778,30.000463,8.9196521,3.0507676,17-04-20 14:30
concern-economy,4/16/2020,all,56.978714,29.867328,8.940358,3.1035411,16-04-20 17:45
concern-infected,4/16/2020,all,33.736069,37.804236,19.199485,8.1477367,16-04-20 17:45
